smiles,antibiotic
COc1ccc(cc1)C(=O)NCC#N,0
C[C@@H](O)[C@@H](O)[C@@H](O)C/C=N/NC(=O)c1ccc(cc1)C(=O)NO,0
COc1cc(C=CC(=O)O)cc(OC)c1O,0
NC(=O)c1ccc([N+](=O)[O-])cc1Cl,0
Nc1ccccc1CO,0
COc1cc(C(=O)O)cc(OC)c1O,0
COC(=O)[C@@H](N)c1cccc(c1)OC,0
N[C@@H](CC(=O)O)c1cccc(c1)O,0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)/C=N/NC(=O)c1ccc(cc1)C(=O)NO,0
CNC[C@@H](O)c1ccc(c(c1)OC)O,0
OCCNC(=S)Nc1ccccc1,0
CC(=O)NCCOc1ccc(cc1)C(=O)O,0
NC(=O)c1cc(ccc1F)N,0
OCCNC(=O)c1cccc(c1)C(=O)NCCO,0
NC(=NC(=N)Nc1ccccc1)N,0
CC(=C)COc1ccc(cc1)[N+](=O)[O-],0
N[C@@H](C(=O)O)c1ccc(cc1)O,0
NC(=N)/N=C(\N)Nc1ccc(cc1)Cl,0
Cc1cc(O)cc(O)c1C(=O)O,0
COc1cc(C=O)ccc1O,0
NNC(=O)[C@@H](O)c1ccccc1,0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)/C=N/NC(=O)CCCCCC(=O)Nc1ccccc1O,0
OC(=O)Cc1ccc(c(c1)O)O,0
CN(C)S(=O)(=O)N(C)c1ccccc1,0
CC(=O)NC(Cc1ccccc1)C(=O)O,0
CNC(=O)c1ccc(cc1)CN,0
CC(=O)NCc1c(c(c(c(c1I)C(=O)O)I)NC(=O)C)I,0
OCc1ccc(cc1)CC(=O)O,0
N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@H](CCCNC(=N)N)C(=O)O,0
CNS(=O)(=O)c1ccc(cc1)C,0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)/C=N/NC(=O)c1ccc(cc1)C(=O)NO,0
COC(=O)CC[C@H](NC(=O)CNC(=O)c1ccc(cc1)/C=C/C(=O)OC)C(=O)N[C@@H](CC(C)C)C(=O)N,0
CC(C)c1cc(c(cc1O)C)Cl,0
OC[C@@H](O)[C@H](O)[C@@H](O)/C=N/NC(=O)c1ccc(cc1)C(=O)NO,0
NC(=O)COc1ccccc1,0
C[C@](N)(Cc1ccc(cc1)O)C(=O)O,0
CNC(=S)Nc1cccc(c1)C(=O)NC,0
NC(=N)c1ccc(cc1)C(=O)N,0
COC(=O)c1c(C)cc(OC)cc1O,0
OCCNC(=O)c1cc(cc(c1)C(=O)NCCO)C(=O)NCCO,0
CC(=O)c1c(O)cc(O)cc1O,0
CC(C)c1ccccc1OC[C@@H](O)CN,0
CN(C)C(=O)c1ccc(cc1)CO,0
COc1cc(OC)c(OC)cc1C=O,0
OCCNCC(=O)Nc1ccc(c(c1)Cl)F,0
COC(=O)[C@@H](O)c1ccccc1,0
Cl.NCC(O)c1ccc(O)cc1,0
N[C@H](CO)COCc1ccccc1,0
COC(=O)[C@@H](N)c1cccc(c1)Cl,0
COc1ccccc1O,0
COc1cccc(OC)c1O,0
COc1ccccc1O[C@@H](C)C(=O)NN,0
CN(C)[C@@H](CN)c1cccc(c1)C(F)(F)F,0
NC(=O)CSCC(=O)Nc1ccccc1F,0
CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)O,0
OC(=O)CCNC(=O)c1ccccc1,0
CC(C)(C)c1cccc(c1)N,0
CC[C@@H](CN)Cc1ccccc1,0
Oc1ccc(O)cc1,0
Cc1cccc(C)c1OCC(C)N.Cl,0
NCc1c(cccc1Cl)Cl,0
Cc1cc(ccc1F)S(=O)(=O)NCC(=O)O,0
N[C@@H](C(=O)O)c1ccc(c(c1)O)C(=O)O,0
O=C(O)c1cccc(O)c1O,0
CNCc1ccccc1.Cl,0
CC(=O)Nc1c(c(c(c(c1I)C(=O)O)I)NC(=O)C)I,0
Cc1ccc(cc1Cl)CN,0
Cc1cc(c(c(c1Br)C)NC(=O)CN(CC(=O)O)CC(=O)O)C,0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.COS(=O)(=O)[O-],0
OC(=O)/C=C\C(=O)Nc1cccc(c1)C(=O)O,0
CC(C)c1ccc(c(c1)O)C,0
CNC(=O)C(=O)Nc1cc(ccc1C#N)Cl,0
COCCC(=O)NS(=O)(=O)c1ccccc1,0
NC(=CS(=O)(=O)Cc1ccc(cc1)F)NO,0
COc1cccc(O)c1O,0
CNC[C@@H](O)CS(=O)(=O)c1ccccc1,0
COc1ccc(cc1OC)C(C)(C)N,0
CNC(C)(C)Cc1ccccc1.O=S(=O)(O)O,0
CN(CC(=O)N)S(=O)(=O)c1ccc(cc1)F,0
COC(=O)c1cccc(c1)NC(=N)N=C(N)N,0
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,0
OCC#Cc1ccccc1C#N,0
Cl.NC(Cc1ccc(Cl)cc1)C(=O)O,0
N[C@@H](Cc1ccc(c(c1)O)O)C(=O)O,0
N[C@@H](C(=O)O)c1ccc(c(c1)C(=O)O)O,0
N[C@@H](CO)c1cccc(c1)Br,0
COc1ccccc1OC[C@@H](O)CO,0
Cc1cccc(c1)OC[C@@H](O)CN,0
COc1ccc(cc1)CNS(=O)(=O)N(C)C,0
